"year","month","day","Pp","Tmax","Tmin"
2001,1,1,8.5,16.9,1.6
2001,1,2,1.7,19.8,0.1
2001,1,3,3.4,20,0.8
2001,1,4,11.4,15.3,0.9
2001,1,5,2.4,18.8,0
2001,1,6,13.3,19,2.6
2001,1,7,2.6,13,1
2001,1,8,0,13.4,-1.6
2001,1,9,0,12.3,-1
2001,1,10,8,14,-1.6
2001,1,11,15.7,15.8,-1.4
2001,1,12,4.6,15.7,-0.5
2001,1,13,0,18.2,-1
2001,1,14,52.5,17.9,0
2001,1,15,0,16.2,-0.8
2001,1,16,0,18.8,-1
2001,1,17,0,19.8,-1.2
2001,1,18,0,18.9,-2.4
2001,1,19,4.8,16.7,-1.2
2001,1,20,16.5,17.4,-1.4
2001,1,21,0.8,12.4,-0.4
2001,1,22,0,16.4,-1
2001,1,23,0,17.6,-1.4
2001,1,24,12,19.6,-0.4
2001,1,25,3.4,16.9,-0.1
2001,1,26,6.9,17.2,1.2
2001,1,27,33.2,18.4,-0.4
2001,1,28,1.3,16.6,-0.8
2001,1,29,2.8,15.2,1
2001,1,30,0,19,1.2
2001,1,31,4.5,18.8,-2.6
2001,2,1,1.6,17.2,-2.5
2001,2,2,4.8,14,0.5
2001,2,3,8.2,14.4,1
2001,2,4,2.8,19.5,0.8
2001,2,5,0,17,1.4
2001,2,6,0,20,2.4
2001,2,7,0,21.8,3.1
2001,2,8,0,21.2,1
2001,2,9,0,17.2,0.6
2001,2,10,0.5,20,-0.4
2001,2,11,17.2,15.4,-0.6
2001,2,12,5.9,18.9,1.1
2001,2,13,2.6,17.9,1.5
2001,2,14,27.8,17.8,1.2
2001,2,15,18.4,17.4,-0.2
2001,2,16,6.5,17.7,0.5
2001,2,17,11.2,16.9,0.6
2001,2,18,8.8,17,1.6
2001,2,19,3.5,17.1,0.8
2001,2,20,4.1,16.2,0.5
2001,2,21,0,18,-2.5
2001,2,22,0,18.1,-0.2
2001,2,23,12.4,17.8,2
2001,2,24,32.5,16.4,-0.4
2001,2,25,4,13.6,-0.5
2001,2,26,0.9,17.9,-2
2001,2,27,2.9,12.9,1.5
2001,2,28,0.7,15,0.5
2001,3,1,7.8,18.4,1
2001,3,2,4.1,20,-0.5
2001,3,3,2.3,17.9,-0.2
2001,3,4,0.4,19.1,0.8
2001,3,5,0,15.9,-0.3
2001,3,6,4.5,17.4,-1.8
2001,3,7,11.2,15.1,2.2
2001,3,8,0,17.1,0.4
2001,3,9,14,15.2,1
2001,3,10,0,16.6,1.4
2001,3,11,4.5,16.4,0.8
2001,3,12,0,16.2,1.8
2001,3,13,0.3,19,0.2
2001,3,14,0,17.2,0.4
2001,3,15,5.6,16.4,1
2001,3,16,8.9,15.8,1.4
2001,3,17,0.3,18.8,0
2001,3,18,4.4,17.2,1.2
2001,3,19,1.4,17.8,0.6
2001,3,20,15.1,16,1.6
2001,3,21,4.7,16.2,0.2
2001,3,22,0,17.4,-2
2001,3,23,0,17.3,-5.4
2001,3,24,0,16,-4.4
2001,3,25,0,16.6,-0.2
2001,3,26,0,17.6,-0.4
2001,3,27,0,18.9,-1
2001,3,28,0,20,0.6
2001,3,29,0,20.8,-1.6
2001,3,30,3.5,19.2,-0.6
2001,3,31,0,21.5,-1
2001,4,1,0,20.2,-0.8
2001,4,2,7.6,21.2,-2.4
2001,4,3,0.3,20.8,-2
2001,4,4,0.1,18,-0.2
2001,4,5,4,19.2,-0.8
2001,4,6,1.5,20.2,0.4
2001,4,7,24,17.6,-1.5
2001,4,8,1.5,18.4,-0.6
