,ho00000686,ho00000687,ho00000690,ho00000755,ho00000758,ho00000765,ho00000807,ho00000849,ho00000851,ho00000860,ho00158208,ho00158321,ho00158327,ho00000776,ho00000778,ho00000779,ho00000780,ho00000781,ho00000783,ho00000785,ho00000786,ho00000787,ho00000788
2000-01-31,160.5,125.90000000000002,169.3,230.1,180.7,165.05,213.49999999999997,128.60000000000002,137.5,158.8,166.82,69.8,109.5,136.79999999999998,126.9,173.7,134.60000000000002,132.39999999999998,187.80000000000004,119.8,85.2,143.4,157.0
2000-02-29,198.5,206.4,110.5,154.4,121.0,116.39999999999999,148.33,93.10000000000001,117.70000000000002,109.10000000000001,125.81,30.81,112.10000000000001,224.6,114.1,116.5,221.89999999999998,114.0,102.2,98.1,55.89999999999999,94.29999999999998,145.0
2000-03-31,115.0,90.7,107.7,131.20000000000002,103.8,74.30000000000001,142.51999999999998,77.5,56.20000000000001,90.8,109.64000000000001,24.4,90.6,108.60000000000001,105.1,130.3,133.29999999999998,51.3,68.0,81.4,113.80000000000001,110.6,169.10000000000002
2000-04-30,13.5,39.0,20.1,12.5,45.8,12.850000000000001,2.51,5.2,10.6,1.8,1.6300000000000001,0.0,4.3,5.9,9.6,52.699999999999996,31.700000000000003,8.4,2.9000000000000004,9.1,7.1,19.0,9.5
2000-05-31,4.5,7.300000000000001,2.0,16.41,10.5,7.950000000000001,6.3,2.4000000000000004,3.8000000000000003,0.0,1.3,0.0,3.5,6.199999999999999,1.4,7.1,0.6000000000000001,2.9,15.600000000000001,0.0,12.1,9.700000000000001,20.0
2000-06-30,10.0,8.7,1.8,3.9,0.0,0.8999999999999999,3.0,0.0,0.3,0.0,0.71,0.02,0.0,1.6,1.2,6.2,0.0,7.8999999999999995,15.600000000000001,19.4,7.3,10.600000000000001,0.0
2000-07-31,9.0,4.5,6.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,4.1,1.6,0.0,0.0,0.5,1.6,0.0,0.5,0.0,1.0
2000-08-31,11.0,19.8,6.6,8.4,1.9000000000000001,1.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,7.1,2.4,7.4,6.9,38.8,27.5,10.6,21.4,39.2,35.2
2000-09-30,7.0,21.4,23.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.51,0.0,0.0,2.5,17.0,14.5,15.8,0.7,6.4,20.2,10.5,9.5,10.7
2000-10-31,70.5,107.19999999999999,56.300000000000004,66.5,40.2,35.1,0.02,5.3,14.7,14.6,13.6,0.0,10.7,119.8,107.99999999999999,57.1,118.3,79.8,111.89999999999999,126.80000000000001,97.8,114.50000000000001,84.10000000000001
